,VISIBILITY,RDSFCOND,SPEEDING,AG_DRIV,ALCOHOL,REDLIGHT,OVER70,NEWDRIVER,IMPACTYPE,ACCLASS
0,Clear,Dry,0,1,0,0,0,0,Pedestrian Collisions,1
1,Clear,Dry,0,1,0,0,0,0,Pedestrian Collisions,1
2,Clear,Dry,0,1,0,1,0,0,Turning Movement,1
3,Clear,Wet,1,1,1,0,0,0,Other,0
4,Clear,Dry,0,1,0,1,0,0,Turning Movement,1
5,Clear,Dry,0,0,1,0,0,0,Pedestrian Collisions,1
6,Clear,Wet,1,1,1,0,0,1,Other,0
7,Clear,Wet,1,1,1,0,0,0,Other,0
8,Clear,Dry,0,0,1,0,0,0,Pedestrian Collisions,1
9,Clear,Dry,0,0,1,0,0,0,Pedestrian Collisions,1
10,Clear,Wet,1,1,1,0,0,0,Other,0
11,Clear,Wet,1,1,1,0,0,1,Other,0
12,Clear,Dry,0,1,1,0,0,0,Pedestrian Collisions,0
13,Clear,Dry,0,0,0,0,0,1,Other,0
14,Clear,Wet,1,1,1,0,0,0,Other,0
15,Clear,Dry,0,1,1,0,0,0,Pedestrian Collisions,0
16,Clear,Dry,0,0,0,0,0,0,Cyclist Collisions,0
17,Clear,Wet,1,1,1,0,0,0,Other,0
18,Clear,Dry,0,0,0,0,0,0,Pedestrian Collisions,1
19,Clear,Dry,0,0,0,0,0,0,Cyclist Collisions,0
20,Clear,Dry,0,0,0,0,0,0,Cyclist Collisions,0
21,Clear,Dry,0,0,0,0,0,0,Pedestrian Collisions,0
22,Clear,Dry,0,0,0,0,0,0,Pedestrian Collisions,0
23,Clear,Dry,0,0,0,0,0,0,Pedestrian Collisions,0
24,Rain,Wet,0,1,0,0,0,0,Other,0
25,Rain,Wet,0,1,0,0,0,0,Other,0
26,Rain,Wet,0,1,0,0,0,0,Other,0
27,Rain,Wet,0,1,0,0,0,0,Other,0
28,Rain,Wet,0,1,0,0,0,0,Other,0
29,Clear,Dry,0,0,0,0,0,0,Cyclist Collisions,0
30,Clear,Dry,0,0,0,0,1,0,Cyclist Collisions,0
31,Clear,Dry,0,0,0,0,0,0,Cyclist Collisions,0
32,Clear,Dry,1,1,0,0,0,0,SMV Other,0
33,Clear,Dry,1,1,0,0,0,0,SMV Other,0
34,Clear,Dry,1,1,0,0,0,1,SMV Other,0
35,Clear,Dry,1,1,0,0,0,0,SMV Other,0
36,Clear,Dry,1,1,0,0,0,0,SMV Other,0
37,Clear,Dry,0,0,0,0,0,0,Turning Movement,0
38,Clear,Dry,0,0,0,0,0,0,Turning Movement,0
39,Clear,Dry,0,0,0,0,0,0,Turning Movement,0
40,Clear,Dry,0,1,0,0,0,0,Pedestrian Collisions,0
41,Clear,Dry,0,1,0,0,0,0,Pedestrian Collisions,0
42,Clear,Dry,0,1,0,0,0,0,Pedestrian Collisions,0
43,Clear,Dry,0,1,0,1,0,0,Other,0
44,Clear,Dry,0,1,0,1,0,0,Other,0
45,Clear,Dry,0,1,0,1,0,0,Other,0
46,Clear,Dry,0,1,0,1,0,0,Other,0
47,Clear,Dry,0,0,0,0,0,0,Pedestrian Collisions,0
48,Clear,Dry,0,0,0,0,0,0,Pedestrian Collisions,0
49,Clear,Dry,0,1,0,0,0,1,Rear End,0
50,Clear,Dry,0,1,0,0,0,0,Rear End,0
51,Clear,Dry,0,1,0,0,0,0,Rear End,0
52,Clear,Dry,0,1,0,0,0,0,Turning Movement,0
53,Clear,Dry,0,1,0,0,0,0,Turning Movement,0
54,Clear,Dry,0,1,0,0,0,0,Turning Movement,0
55,Clear,Dry,0,1,0,1,0,0,Other,0
56,Clear,Dry,0,1,0,1,0,0,Other,0
57,Clear,Dry,0,1,0,1,0,0,Other,0
58,Clear,Dry,0,1,0,1,0,0,Other,0
59,Clear,Dry,0,0,0,0,0,0,Pedestrian Collisions,0
60,Clear,Dry,0,0,0,0,0,0,Pedestrian Collisions,0
61,Clear,Dry,0,0,0,0,1,0,Pedestrian Collisions,0
62,Clear,Dry,0,1,0,0,0,0,Other,0
63,Clear,Dry,0,1,0,0,0,0,Other,0
64,Clear,Dry,0,1,0,0,0,0,Other,0
65,Clear,Dry,0,1,0,0,0,0,Other,0
66,Clear,Dry,0,1,0,0,0,0,Other,0
67,Clear,Dry,0,1,0,0,0,0,Other,0
68,Clear,Dry,0,1,0,1,0,0,Turning Movement,0
69,Clear,Dry,0,1,0,1,0,0,Turning Movement,0
70,Clear,Dry,0,1,0,1,0,0,Turning Movement,0
71,Clear,Dry,0,1,0,1,0,0,Turning Movement,0
72,Clear,Dry,0,1,0,1,0,0,Turning Movement,0
73,Rain,Wet,0,1,0,0,0,0,Other,0
74,Rain,Wet,0,1,0,0,0,0,Other,0
75,Rain,Wet,0,1,0,0,1,0,Other,0
76,Rain,Wet,0,1,0,0,0,0,Other,0
77,Clear,Dry,0,0,0,0,0,0,Turning Movement,0
78,Clear,Dry,0,0,0,0,0,0,Turning Movement,0
79,Clear,Dry,0,0,0,0,0,1,Turning Movement,0
80,Clear,Dry,0,0,0,0,0,0,Turning Movement,0
81,Clear,Dry,0,0,0,0,0,0,Turning Movement,0
82,Clear,Dry,0,0,0,0,1,0,Pedestrian Collisions,0
83,Clear,Dry,0,0,0,0,1,0,Pedestrian Collisions,0
84,Clear,Dry,0,1,0,0,0,0,Pedestrian Collisions,0
85,Clear,Dry,0,1,0,0,0,0,Pedestrian Collisions,0
86,Clear,Dry,0,0,0,0,0,0,Cyclist Collisions,0
87,Clear,Dry,0,0,0,0,0,0,Cyclist Collisions,0
88,Clear,Dry,1,1,0,0,0,0,Other,0
89,Clear,Dry,1,1,0,0,0,0,Other,0
90,Other,Other,0,0,0,0,0,0,Pedestrian Collisions,0
91,Other,Other,0,0,0,0,0,0,Pedestrian Collisions,0
92,Clear,Dry,0,0,0,0,0,0,Cyclist Collisions,0
93,Clear,Dry,0,0,0,0,0,0,Cyclist Collisions,0
94,Clear,Dry,0,0,0,0,0,0,Pedestrian Collisions,0
95,Clear,Dry,0,0,0,0,0,0,Pedestrian Collisions,0
96,Clear,Dry,0,0,0,0,0,0,Pedestrian Collisions,0
97,Clear,Dry,1,1,0,1,0,0,Cyclist Collisions,0
98,Clear,Dry,1,1,0,1,0,0,Cyclist Collisions,0
99,Clear,Dry,1,1,0,1,0,0,Cyclist Collisions,0
100,Clear,Dry,0,0,0,0,0,0,Pedestrian Collisions,0
101,Clear,Dry,0,0,0,0,0,0,Pedestrian Collisions,0
102,Clear,Dry,0,0,0,0,0,0,Pedestrian Collisions,0
103,Clear,Dry,0,0,0,0,0,0,Turning Movement,0
104,Clear,Dry,0,0,0,0,0,0,Turning Movement,0
105,Clear,Dry,0,0,0,0,0,0,Turning Movement,0
106,Clear,Dry,0,0,0,0,0,0,Rear End,0
107,Clear,Dry,0,0,0,0,0,0,Rear End,0
108,Clear,Dry,0,0,0,0,0,0,Rear End,0
109,Clear,Dry,0,0,0,0,0,0,Rear End,0
110,Clear,Dry,1,1,0,0,0,0,Other,0
111,Clear,Dry,1,1,0,0,0,0,Other,0
112,Clear,Dry,0,1,0,0,0,0,Rear End,0
113,Clear,Dry,0,1,0,0,0,0,Rear End,0
114,Clear,Dry,0,1,0,0,0,0,Rear End,0
115,Clear,Dry,0,1,0,0,0,0,Rear End,0
116,Clear,Dry,0,1,0,0,0,0,Rear End,0
117,Clear,Dry,0,1,0,0,0,0,Pedestrian Collisions,0
118,Clear,Dry,0,0,0,0,0,0,Turning Movement,0
119,Clear,Dry,0,0,0,0,0,0,Pedestrian Collisions,1
120,Clear,Dry,0,0,0,0,0,0,Turning Movement,0
121,Clear,Wet,1,1,1,0,0,0,Other,0
122,Clear,Dry,0,1,0,0,0,0,Pedestrian Collisions,0
123,Clear,Dry,0,0,0,0,1,0,Turning Movement,0
124,Snow,Other,0,0,0,0,0,0,SMV Other,0
125,Clear,Dry,0,0,0,0,0,0,Pedestrian Collisions,0
126,Clear,Dry,0,0,0,0,0,0,Pedestrian Collisions,0
127,Clear,Dry,0,0,0,0,0,0,Pedestrian Collisions,0
128,Snow,Other,0,0,0,0,0,1,SMV Other,0
129,Clear,Dry,0,0,0,0,0,0,Pedestrian Collisions,0
130,Clear,Dry,0,0,0,0,0,0,SMV Other,0
131,Snow,Other,0,0,0,0,0,1,SMV Other,0
132,Clear,Dry,0,1,0,1,0,0,Turning Movement,0
133,Snow,Other,0,0,0,0,0,0,SMV Other,0
134,Clear,Dry,0,1,0,1,0,0,Turning Movement,0
135,Snow,Other,0,0,0,0,0,0,SMV Other,0
136,Clear,Dry,0,0,0,0,0,0,SMV Other,0
137,Clear,Dry,0,1,0,1,0,0,Turning Movement,0
138,Other,Wet,0,0,0,0,0,0,Pedestrian Collisions,0
139,Clear,Dry,0,1,0,0,0,0,Pedestrian Collisions,0
140,Other,Wet,0,0,0,0,0,0,Pedestrian Collisions,0
141,Clear,Dry,0,1,0,1,0,0,Turning Movement,0
142,Clear,Dry,1,1,0,0,0,0,Pedestrian Collisions,0
143,Clear,Dry,0,1,0,1,0,0,Turning Movement,0
144,Rain,Wet,0,0,0,0,0,0,Pedestrian Collisions,0
145,Rain,Wet,0,0,0,0,1,0,Pedestrian Collisions,0
146,Clear,Dry,1,1,0,0,0,0,Pedestrian Collisions,0
147,Clear,Dry,0,1,0,0,1,0,Pedestrian Collisions,0
148,Clear,Dry,0,1,0,1,0,0,Turning Movement,0
149,Clear,Dry,0,0,0,0,0,0,Rear End,0
150,Clear,Dry,0,1,0,1,0,0,Turning Movement,0
151,Clear,Dry,0,1,0,0,0,0,Rear End,0
152,Clear,Dry,0,0,0,0,0,0,Rear End,0
153,Clear,Dry,0,1,0,1,0,0,Turning Movement,0
154,Clear,Dry,0,0,0,0,0,0,Pedestrian Collisions,0
155,Clear,Dry,0,1,0,0,0,0,Rear End,0
156,Clear,Dry,0,1,0,1,0,0,Turning Movement,0
157,Clear,Dry,0,0,0,0,0,0,Rear End,0
158,Clear,Dry,0,0,0,0,0,0,Pedestrian Collisions,0
159,Clear,Dry,0,1,0,0,0,0,Rear End,0
160,Clear,Dry,0,0,0,0,0,0,Turning Movement,0
161,Rain,Wet,0,1,0,0,0,0,Pedestrian Collisions,0
162,Clear,Dry,0,1,0,0,0,0,Pedestrian Collisions,0
163,Clear,Dry,0,1,0,0,0,0,Other,0
164,Clear,Dry,0,0,0,0,0,0,Turning Movement,0
165,Rain,Wet,0,1,0,0,0,0,Pedestrian Collisions,0
166,Clear,Wet,0,0,0,0,0,0,Other,1
167,Clear,Dry,0,1,0,0,0,0,Pedestrian Collisions,0
168,Clear,Dry,0,1,0,0,0,0,Other,0
169,Clear,Dry,0,0,0,0,0,0,Pedestrian Collisions,0
170,Clear,Wet,0,0,0,0,0,0,Other,1
171,Clear,Dry,0,0,0,0,0,0,Turning Movement,0
172,Clear,Wet,0,0,0,0,0,0,Other,1
173,Clear,Dry,0,1,0,0,0,0,Other,0
174,Clear,Dry,0,1,0,0,0,0,Pedestrian Collisions,0
175,Clear,Dry,0,0,0,0,1,0,Pedestrian Collisions,0
176,Clear,Dry,0,0,0,0,0,0,Pedestrian Collisions,0
177,Clear,Dry,0,1,0,0,0,0,Pedestrian Collisions,0
178,Clear,Dry,0,1,0,0,0,0,Pedestrian Collisions,0
179,Clear,Dry,0,0,0,0,0,0,Turning Movement,0
180,Clear,Dry,0,1,0,1,0,0,Other,0
181,Clear,Dry,0,0,0,0,0,0,Pedestrian Collisions,0
182,Clear,Dry,0,1,0,0,0,0,Pedestrian Collisions,0
183,Clear,Dry,0,1,0,0,0,0,Rear End,0
184,Clear,Dry,0,1,0,1,0,0,Other,0
185,Clear,Dry,0,1,0,0,0,0,Cyclist Collisions,0
186,Clear,Dry,0,0,0,0,0,0,Pedestrian Collisions,0
187,Clear,Dry,0,0,0,0,0,0,Pedestrian Collisions,0
188,Clear,Dry,0,1,0,0,0,1,Rear End,0
189,Clear,Dry,0,1,0,1,0,0,Other,0
190,Clear,Dry,0,0,0,0,1,0,Pedestrian Collisions,0
191,Clear,Dry,0,0,0,0,0,0,Pedestrian Collisions,0
192,Clear,Dry,0,1,0,0,0,0,Cyclist Collisions,0
193,Clear,Dry,0,1,0,1,0,0,Other,0
194,Clear,Dry,0,0,0,0,0,0,Cyclist Collisions,0
195,Rain,Wet,0,1,0,0,0,0,Other,0
196,Clear,Dry,0,1,0,0,0,0,Other,0
197,Clear,Dry,0,0,0,0,0,0,Cyclist Collisions,0
198,Clear,Dry,0,1,0,0,0,0,Pedestrian Collisions,1
199,Clear,Dry,0,0,0,0,0,0,Cyclist Collisions,0
200,Rain,Wet,0,1,0,0,0,0,Other,0
201,Clear,Dry,0,0,0,0,0,0,Cyclist Collisions,0
202,Clear,Dry,0,1,0,0,0,1,Other,0
203,Clear,Dry,0,1,0,0,0,0,Pedestrian Collisions,1
204,Clear,Dry,0,0,0,0,0,0,Other,0
205,Rain,Wet,0,1,0,0,0,0,Other,0
206,Clear,Dry,0,0,0,0,0,0,SMV Other,0
